"Name","Country","Weight","Height","Age","Team","Fight_Result","Fight_Method"
"Allycia Hellen Rodrigues","
Brazil ","115.08 LBS / 52.2 KG","5'3"" FT / 161 CM","26 Y","Phuket Fight Club","WIN","Unanimous Decision 
R5 (3:00)"
"Allycia Hellen Rodrigues","
Brazil ","115.08 LBS / 52.2 KG","5'3"" FT / 161 CM","26 Y","Phuket Fight Club","LOSS","TKO 
R3 (2:58)"
"Allycia Hellen Rodrigues","
Brazil ","115.08 LBS / 52.2 KG","5'3"" FT / 161 CM","26 Y","Phuket Fight Club","WIN","Unanimous Decision 
R5 (3:00)"
"Allycia Hellen Rodrigues","
Brazil ","115.08 LBS / 52.2 KG","5'3"" FT / 161 CM","26 Y","Phuket Fight Club","WIN","Majority Decision 
R5 (3:00)"
"Chingiz Allazov","
Azerbaijan / Belarus ","154.54 LBS / 70.1 KG","5'11"" FT / 181 CM","31 Y","Gridin Gym","WIN","Unanimous Decision 
R5 (3:00)"
"Chingiz Allazov","
Azerbaijan / Belarus ","154.54 LBS / 70.1 KG","5'11"" FT / 181 CM","31 Y","Gridin Gym","WIN","Knockout 
R2 (1:03)"
"Chingiz Allazov","
Azerbaijan / Belarus ","154.54 LBS / 70.1 KG","5'11"" FT / 181 CM","31 Y","Gridin Gym","WIN","Unanimous Decision 
R3 (3:00)"
"Chingiz Allazov","
Azerbaijan / Belarus ","154.54 LBS / 70.1 KG","5'11"" FT / 181 CM","31 Y","Gridin Gym","WIN","Knockout 
R1 (1:55)"
"Chingiz Allazov","
Azerbaijan / Belarus ","154.54 LBS / 70.1 KG","5'11"" FT / 181 CM","31 Y","Gridin Gym","WIN","Knockout 
R1 (0:39)"
"Chingiz Allazov","
Azerbaijan / Belarus ","154.54 LBS / 70.1 KG","5'11"" FT / 181 CM","31 Y","Gridin Gym","LOSS","Split Decision 
R3 (3:00)"
"Janet Todd","
United States ","115.08 LBS / 52.2 KG","5'2"" FT / 160 CM","38 Y","Boxing Works","LOSS","Unanimous Decision 
R5 (3:00)"
"Janet Todd","
United States ","115.08 LBS / 52.2 KG","5'2"" FT / 160 CM","38 Y","Boxing Works","LOSS","Unanimous Decision 
R5 (3:00)"
"Janet Todd","
United States ","115.08 LBS / 52.2 KG","5'2"" FT / 160 CM","38 Y","Boxing Works","WIN","Unanimous Decision 
R5 (3:00)"
"Janet Todd","
United States ","115.08 LBS / 52.2 KG","5'2"" FT / 160 CM","38 Y","Boxing Works","WIN","TKO 
R3 (1:36)"
"Janet Todd","
United States ","115.08 LBS / 52.2 KG","5'2"" FT / 160 CM","38 Y","Boxing Works","WIN","Unanimous Decision 
R3 (3:00)"
"Janet Todd","
United States ","115.08 LBS / 52.2 KG","5'2"" FT / 160 CM","38 Y","Boxing Works","WIN","Split Decision 
R5 (5:00)"
"Janet Todd","
United States ","115.08 LBS / 52.2 KG","5'2"" FT / 160 CM","38 Y","Boxing Works","WIN","Knockout 
R2 (2:29)"
"Janet Todd","
United States ","115.08 LBS / 52.2 KG","5'2"" FT / 160 CM","38 Y","Boxing Works","WIN","Majority Decision 
R3 (3:00)"
"Janet Todd","
United States ","115.08 LBS / 52.2 KG","5'2"" FT / 160 CM","38 Y","Boxing Works","WIN","TKO 
R2 (2:59)"
"Janet Todd","
United States ","115.08 LBS / 52.2 KG","5'2"" FT / 160 CM","38 Y","Boxing Works","LOSS","Unanimous Decision 
R5 (5:00)"
"Jonathan Haggerty","
United Kingdom ","143.52 LBS / 65.1 KG","5'6"" FT / 170 CM","27 Y","Keddles Gym / Knowlesy Academy / Team Underground","LOSS","Knockout 
R1 (0:49)"
"Jonathan Haggerty","
United Kingdom ","143.52 LBS / 65.1 KG","5'6"" FT / 170 CM","27 Y","Keddles Gym / Knowlesy Academy / Team Underground","WIN","TKO 
R3 (0:45)"
"Jonathan Haggerty","
United Kingdom ","143.52 LBS / 65.1 KG","5'6"" FT / 170 CM","27 Y","Keddles Gym / Knowlesy Academy / Team Underground","WIN","Knockout 
R2 (1:57)"
"Jonathan Haggerty","
United Kingdom ","143.52 LBS / 65.1 KG","5'6"" FT / 170 CM","27 Y","Keddles Gym / Knowlesy Academy / Team Underground","WIN","Knockout 
R1 (2:40)"
"Jonathan Haggerty","
United Kingdom ","143.52 LBS / 65.1 KG","5'6"" FT / 170 CM","27 Y","Keddles Gym / Knowlesy Academy / Team Underground","WIN","Majority Decision 
R3 (3:00)"
"Jonathan Haggerty","
United Kingdom ","143.52 LBS / 65.1 KG","5'6"" FT / 170 CM","27 Y","Keddles Gym / Knowlesy Academy / Team Underground","WIN","Unanimous Decision 
R3 (3:00)"
"Jonathan Haggerty","
United Kingdom ","143.52 LBS / 65.1 KG","5'6"" FT / 170 CM","27 Y","Keddles Gym / Knowlesy Academy / Team Underground","WIN","Unanimous Decision 
R3 (3:00)"
"Jonathan Haggerty","
United Kingdom ","143.52 LBS / 65.1 KG","5'6"" FT / 170 CM","27 Y","Keddles Gym / Knowlesy Academy / Team Underground","LOSS","TKO 
R3 (2:39)"
"Jonathan Haggerty","
United Kingdom ","143.52 LBS / 65.1 KG","5'6"" FT / 170 CM","27 Y","Keddles Gym / Knowlesy Academy / Team Underground","LOSS","Unanimous Decision 
R5 (5:00)"
"Jonathan Haggerty","
United Kingdom ","143.52 LBS / 65.1 KG","5'6"" FT / 170 CM","27 Y","Keddles Gym / Knowlesy Academy / Team Underground","WIN","Unanimous Decision 
R5 (3:00)"
"Jonathan Haggerty","
United Kingdom ","143.52 LBS / 65.1 KG","5'6"" FT / 170 CM","27 Y","Keddles Gym / Knowlesy Academy / Team Underground","WIN","Unanimous Decision 
R3"
"Joseph Lasiri","
Italy / Morocco ","124.78 LBS / 56.6 KG","5'6"" FT / 170 CM","33 Y","Kick and Punch Milano","LOSS","Knockout 
R1 (1:28)"
"Joseph Lasiri","
Italy / Morocco ","124.78 LBS / 56.6 KG","5'6"" FT / 170 CM","33 Y","Kick and Punch Milano","LOSS","Unanimous Decision 
R5 (3:00)"
"Joseph Lasiri","
Italy / Morocco ","124.78 LBS / 56.6 KG","5'6"" FT / 170 CM","33 Y","Kick and Punch Milano","WIN","TKO 
R3 (3:00)"
"Joseph Lasiri","
Italy / Morocco ","124.78 LBS / 56.6 KG","5'6"" FT / 170 CM","33 Y","Kick and Punch Milano","WIN","Knockout 
R1 (2:05)"
"Joseph Lasiri","
Italy / Morocco ","124.78 LBS / 56.6 KG","5'6"" FT / 170 CM","33 Y","Kick and Punch Milano","WIN","Split Decision 
R3 (3:00)"
"Joseph Lasiri","
Italy / Morocco ","124.78 LBS / 56.6 KG","5'6"" FT / 170 CM","33 Y","Kick and Punch Milano","LOSS","Majority Decision 
R3 (3:00)"
"Joseph Lasiri","
Italy / Morocco ","124.78 LBS / 56.6 KG","5'6"" FT / 170 CM","33 Y","Kick and Punch Milano","WIN","Majority Decision 
R3"
"Joseph Lasiri","
Italy / Morocco ","124.78 LBS / 56.6 KG","5'6"" FT / 170 CM","33 Y","Kick and Punch Milano","LOSS","Unanimous Decision 
R3"
"Joseph Lasiri","
Italy / Morocco ","124.78 LBS / 56.6 KG","5'6"" FT / 170 CM","33 Y","Kick and Punch Milano","LOSS","Unanimous Decision 
R3"
"Joseph Lasiri","
Italy / Morocco ","124.78 LBS / 56.6 KG","5'6"" FT / 170 CM","33 Y","Kick and Punch Milano","LOSS","TKO 
R2 (2:36)"
"Joseph Lasiri","
Italy / Morocco ","124.78 LBS / 56.6 KG","5'6"" FT / 170 CM","33 Y","Kick and Punch Milano","LOSS","TKO 
R2 (2:30)"
"Nong-O Hama","
Thailand ","143.96 LBS / 65.3 KG","5'7"" FT / 171 CM","37 Y","Evolve MMA","LOSS","Unanimous Decision 
R3 (3:00)"
"Nong-O Hama","
Thailand ","143.96 LBS / 65.3 KG","5'7"" FT / 171 CM","37 Y","Evolve MMA","WIN","Unanimous Decision 
R3 (3:00)"
"Nong-O Hama","
Thailand ","143.96 LBS / 65.3 KG","5'7"" FT / 171 CM","37 Y","Evolve MMA","LOSS","Knockout 
R2 (1:28)"
"Nong-O Hama","
Thailand ","143.96 LBS / 65.3 KG","5'7"" FT / 171 CM","37 Y","Evolve MMA","LOSS","Knockout 
R1 (2:40)"
"Nong-O Hama","
Thailand ","143.96 LBS / 65.3 KG","5'7"" FT / 171 CM","37 Y","Evolve MMA","WIN","Knockout 
R3 (2:14)"
"Nong-O Hama","
Thailand ","143.96 LBS / 65.3 KG","5'7"" FT / 171 CM","37 Y","Evolve MMA","WIN","TKO 
R1 (2:10)"
"Nong-O Hama","
Thailand ","143.96 LBS / 65.3 KG","5'7"" FT / 171 CM","37 Y","Evolve MMA","WIN","Knockout 
R3 (2:15)"
"Nong-O Hama","
Thailand ","143.96 LBS / 65.3 KG","5'7"" FT / 171 CM","37 Y","Evolve MMA","WIN","Knockout 
R3 (1:13)"
"Nong-O Hama","
Thailand ","143.96 LBS / 65.3 KG","5'7"" FT / 171 CM","37 Y","Evolve MMA","WIN","Knockout 
R4 (1:46)"
"Nong-O Hama","
Thailand ","143.96 LBS / 65.3 KG","5'7"" FT / 171 CM","37 Y","Evolve MMA","WIN","Split Decision 
R5 (3:00)"
"Nong-O Hama","
Thailand ","143.96 LBS / 65.3 KG","5'7"" FT / 171 CM","37 Y","Evolve MMA","WIN","Unanimous Decision 
R5 (3:00)"
"Nong-O Hama","
Thailand ","143.96 LBS / 65.3 KG","5'7"" FT / 171 CM","37 Y","Evolve MMA","WIN","Unanimous Decision 
R5"
"Nong-O Hama","
Thailand ","143.96 LBS / 65.3 KG","5'7"" FT / 171 CM","37 Y","Evolve MMA","WIN","Unanimous Decision 
R3"
"Nong-O Hama","
Thailand ","143.96 LBS / 65.3 KG","5'7"" FT / 171 CM","37 Y","Evolve MMA","WIN","Unanimous Decision 
R3"
"Petchtanong Petchfergus","
Thailand ","145.06 LBS / 65.8 KG","5'8"" FT / 174 CM","38 Y","Superbon Training Camp","WIN","TKO 
R2 (1:59)"
"Petchtanong Petchfergus","
Thailand ","145.06 LBS / 65.8 KG","5'8"" FT / 174 CM","38 Y","Superbon Training Camp","WIN","Split Decision 
R5 (3:00)"
"Petchtanong Petchfergus","
Thailand ","145.06 LBS / 65.8 KG","5'8"" FT / 174 CM","38 Y","Superbon Training Camp","WIN","Unanimous Decision 
R3 (3:00)"
"Petchtanong Petchfergus","
Thailand ","145.06 LBS / 65.8 KG","5'8"" FT / 174 CM","38 Y","Superbon Training Camp","LOSS","Knockout 
R1 (0:06)"
"Phetjeeja Lukjaoporongtom","
Thailand ","114.42 LBS / 51.9 KG","5'2"" FT / 160 CM","22 Y","Team Mehdi Zatout","WIN","Unanimous Decision 
R5 (3:00)"
"Phetjeeja Lukjaoporongtom","
Thailand ","114.42 LBS / 51.9 KG","5'2"" FT / 160 CM","22 Y","Team Mehdi Zatout","WIN","Unanimous Decision 
R5 (3:00)"
"Phetjeeja Lukjaoporongtom","
Thailand ","114.42 LBS / 51.9 KG","5'2"" FT / 160 CM","22 Y","Team Mehdi Zatout","WIN","TKO 
R3 (1:01)"
"Phetjeeja Lukjaoporongtom","
Thailand ","114.42 LBS / 51.9 KG","5'2"" FT / 160 CM","22 Y","Team Mehdi Zatout","WIN","TKO 
R1 (0:26)"
"Phetjeeja Lukjaoporongtom","
Thailand ","114.42 LBS / 51.9 KG","5'2"" FT / 160 CM","22 Y","Team Mehdi Zatout","WIN","TKO 
R1 (2:50)"
"Phetjeeja Lukjaoporongtom","
Thailand ","114.42 LBS / 51.9 KG","5'2"" FT / 160 CM","22 Y","Team Mehdi Zatout","WIN","TKO 
R2 (1:38)"
"Prajanchai PK Saenchai","
Thailand ","123.9 LBS / 56.2 KG","5'4"" FT / 163 CM","30 Y","PK Saenchai Muaythaigym","WIN","Unanimous Decision 
R5 (3:00)"
"Prajanchai PK Saenchai","
Thailand ","123.9 LBS / 56.2 KG","5'4"" FT / 163 CM","30 Y","PK Saenchai Muaythaigym","WIN","Knockout 
R1 (1:28)"
"Prajanchai PK Saenchai","
Thailand ","123.9 LBS / 56.2 KG","5'4"" FT / 163 CM","30 Y","PK Saenchai Muaythaigym","WIN","Unanimous Decision 
R3 (3:00)"
"Prajanchai PK Saenchai","
Thailand ","123.9 LBS / 56.2 KG","5'4"" FT / 163 CM","30 Y","PK Saenchai Muaythaigym","WIN","Knockout 
R2 (2:10)"
"Prajanchai PK Saenchai","
Thailand ","123.9 LBS / 56.2 KG","5'4"" FT / 163 CM","30 Y","PK Saenchai Muaythaigym","WIN","Unanimous Decision 
R3"
"Prajanchai PK Saenchai","
Thailand ","123.9 LBS / 56.2 KG","5'4"" FT / 163 CM","30 Y","PK Saenchai Muaythaigym","LOSS","TKO 
R3 (3:00)"
"Prajanchai PK Saenchai","
Thailand ","123.9 LBS / 56.2 KG","5'4"" FT / 163 CM","30 Y","PK Saenchai Muaythaigym","WIN","Majority Decision 
R5 (3:00)"
"Regian Eersel","
Suriname ","169.98 LBS / 77.1 KG","6'2"" FT / 189 CM","31 Y","Sityodtong Amsterdam","WIN","Unanimous Decision 
R5 (3:00)"
"Regian Eersel","
Suriname ","169.98 LBS / 77.1 KG","6'2"" FT / 189 CM","31 Y","Sityodtong Amsterdam","LOSS","Unanimous Decision 
R5 (3:00)"
"Regian Eersel","
Suriname ","169.98 LBS / 77.1 KG","6'2"" FT / 189 CM","31 Y","Sityodtong Amsterdam","WIN","Knockout 
R1 (0:46)"
"Regian Eersel","
Suriname ","169.98 LBS / 77.1 KG","6'2"" FT / 189 CM","31 Y","Sityodtong Amsterdam","WIN","Knockout 
R4 (1:17)"
"Regian Eersel","
Suriname ","169.98 LBS / 77.1 KG","6'2"" FT / 189 CM","31 Y","Sityodtong Amsterdam","WIN","Split Decision 
R5 (3:00)"
"Regian Eersel","
Suriname ","169.98 LBS / 77.1 KG","6'2"" FT / 189 CM","31 Y","Sityodtong Amsterdam","WIN","Unanimous Decision 
R5 (3:00)"
"Regian Eersel","
Suriname ","169.98 LBS / 77.1 KG","6'2"" FT / 189 CM","31 Y","Sityodtong Amsterdam","WIN","Split Decision 
R5 (3:00)"
"Regian Eersel","
Suriname ","169.98 LBS / 77.1 KG","6'2"" FT / 189 CM","31 Y","Sityodtong Amsterdam","WIN","Unanimous Decision 
R5 (3:00)"
"Regian Eersel","
Suriname ","169.98 LBS / 77.1 KG","6'2"" FT / 189 CM","31 Y","Sityodtong Amsterdam","WIN","Unanimous Decision 
R5 (3:00)"
"Regian Eersel","
Suriname ","169.98 LBS / 77.1 KG","6'2"" FT / 189 CM","31 Y","Sityodtong Amsterdam","WIN","Unanimous Decision 
R5 (3:00)"
"Regian Eersel","
Suriname ","169.98 LBS / 77.1 KG","6'2"" FT / 189 CM","31 Y","Sityodtong Amsterdam","WIN","Knockout 
R2 (1:03)"
"Regian Eersel","
Suriname ","169.98 LBS / 77.1 KG","6'2"" FT / 189 CM","31 Y","Sityodtong Amsterdam","WIN","Unanimous Decision 
R3"
"Rodtang Jitmuangnon","
Thailand ","134.92 LBS / 61.2 KG","5'6"" FT / 168 CM","27 Y","Jitmuangnon Gym","WIN","Unanimous Decision 
R3 (3:00)"
"Rodtang Jitmuangnon","
Thailand ","134.92 LBS / 61.2 KG","5'6"" FT / 168 CM","27 Y","Jitmuangnon Gym","LOSS","Unanimous Decision 
R3 (3:00)"
"Rodtang Jitmuangnon","
Thailand ","134.92 LBS / 61.2 KG","5'6"" FT / 168 CM","27 Y","Jitmuangnon Gym","WIN","Knockout 
R2 (1:34)"
"Rodtang Jitmuangnon","
Thailand ","134.92 LBS / 61.2 KG","5'6"" FT / 168 CM","27 Y","Jitmuangnon Gym","WIN","Unanimous Decision 
R3 (3:00)"
"Rodtang Jitmuangnon","
Thailand ","134.92 LBS / 61.2 KG","5'6"" FT / 168 CM","27 Y","Jitmuangnon Gym","WIN","Unanimous Decision 
R5 (3:00)"
"Rodtang Jitmuangnon","
Thailand ","134.92 LBS / 61.2 KG","5'6"" FT / 168 CM","27 Y","Jitmuangnon Gym","WIN","Unanimous Decision 
R3 (3:00)"
"Rodtang Jitmuangnon","
Thailand ","134.92 LBS / 61.2 KG","5'6"" FT / 168 CM","27 Y","Jitmuangnon Gym","LOSS","Submission 
R2 (2:13)"
"Rodtang Jitmuangnon","
Thailand ","134.92 LBS / 61.2 KG","5'6"" FT / 168 CM","27 Y","Jitmuangnon Gym","WIN","Unanimous Decision 
R3 (3:00)"
"Rodtang Jitmuangnon","
Thailand ","134.92 LBS / 61.2 KG","5'6"" FT / 168 CM","27 Y","Jitmuangnon Gym","WIN","Split Decision 
R3 (3:00)"
"Rodtang Jitmuangnon","
Thailand ","134.92 LBS / 61.2 KG","5'6"" FT / 168 CM","27 Y","Jitmuangnon Gym","WIN","Majority Decision 
R5 (3:00)"
"Rodtang Jitmuangnon","
Thailand ","134.92 LBS / 61.2 KG","5'6"" FT / 168 CM","27 Y","Jitmuangnon Gym","WIN","TKO 
R3 (2:39)"
"Rodtang Jitmuangnon","
Thailand ","134.92 LBS / 61.2 KG","5'6"" FT / 168 CM","27 Y","Jitmuangnon Gym","WIN","Split Decision 
R5 (5:00)"
"Rodtang Jitmuangnon","
Thailand ","134.92 LBS / 61.2 KG","5'6"" FT / 168 CM","27 Y","Jitmuangnon Gym","WIN","Unanimous Decision 
R5 (5:00)"
"Rodtang Jitmuangnon","
Thailand ","134.92 LBS / 61.2 KG","5'6"" FT / 168 CM","27 Y","Jitmuangnon Gym","WIN","Knockout 
R2 (3:05)"
"Rodtang Jitmuangnon","
Thailand ","134.92 LBS / 61.2 KG","5'6"" FT / 168 CM","27 Y","Jitmuangnon Gym","WIN","Split Decision 
R3"
"Rodtang Jitmuangnon","
Thailand ","134.92 LBS / 61.2 KG","5'6"" FT / 168 CM","27 Y","Jitmuangnon Gym","WIN","Unanimous Decision 
R3"
"Rodtang Jitmuangnon","
Thailand ","134.92 LBS / 61.2 KG","5'6"" FT / 168 CM","27 Y","Jitmuangnon Gym","WIN","Unanimous Decision 
R3"
"Roman Kryklia","
Ukraine ","231.71 LBS / 105.1 KG","6'6"" FT / 200 CM","33 Y","Champ Belts","WIN","Knockout 
R2 (0:25)"
"Roman Kryklia","
Ukraine ","231.71 LBS / 105.1 KG","6'6"" FT / 200 CM","33 Y","Champ Belts","WIN","TKO 
R2 (1:28)"
"Roman Kryklia","
Ukraine ","231.71 LBS / 105.1 KG","6'6"" FT / 200 CM","33 Y","Champ Belts","WIN","TKO 
R1 (0:52)"
"Roman Kryklia","
Ukraine ","231.71 LBS / 105.1 KG","6'6"" FT / 200 CM","33 Y","Champ Belts","WIN","Knockout 
R1 (2:32)"
"Roman Kryklia","
Ukraine ","231.71 LBS / 105.1 KG","6'6"" FT / 200 CM","33 Y","Champ Belts","WIN","Unanimous Decision 
R5 (3:00)"
"Roman Kryklia","
Ukraine ","231.71 LBS / 105.1 KG","6'6"" FT / 200 CM","33 Y","Champ Belts","WIN","TKO 
R2 (0:43)"
"Smilla Sundell","
Sweden ","126.55 LBS / 57.4 KG","5'10"" FT / 178 CM","19 Y","Fairtex Training Center","WIN","TKO 
R2 (2:59)"
"Smilla Sundell","
Sweden ","126.55 LBS / 57.4 KG","5'10"" FT / 178 CM","19 Y","Fairtex Training Center","WIN","TKO 
R3 (2:58)"
"Smilla Sundell","
Sweden ","126.55 LBS / 57.4 KG","5'10"" FT / 178 CM","19 Y","Fairtex Training Center","WIN","Unanimous Decision 
R3 (3:00)"
"Smilla Sundell","
Sweden ","126.55 LBS / 57.4 KG","5'10"" FT / 178 CM","19 Y","Fairtex Training Center","WIN","Unanimous Decision 
R5 (3:00)"
"Smilla Sundell","
Sweden ","126.55 LBS / 57.4 KG","5'10"" FT / 178 CM","19 Y","Fairtex Training Center","WIN","TKO 
R3 (1:35)"
"Stamp Fairtex","
Thailand ","115.08 LBS / 52.2 KG","5'1"" FT / 157 CM","26 Y","Fairtex Training Center","WIN","TKO 
R3 (1:04)"
"Stamp Fairtex","
Thailand ","115.08 LBS / 52.2 KG","5'1"" FT / 157 CM","26 Y","Fairtex Training Center","WIN","Knockout 
R2 (2:27)"
"Stamp Fairtex","
Thailand ","115.08 LBS / 52.2 KG","5'1"" FT / 157 CM","26 Y","Fairtex Training Center","WIN","Split Decision 
R3 (3:00)"
"Stamp Fairtex","
Thailand ","115.08 LBS / 52.2 KG","5'1"" FT / 157 CM","26 Y","Fairtex Training Center","WIN","Unanimous Decision 
R3 (5:00)"
"Stamp Fairtex","
Thailand ","115.08 LBS / 52.2 KG","5'1"" FT / 157 CM","26 Y","Fairtex Training Center","LOSS","Submission 
R2 (4:50)"
"Stamp Fairtex","
Thailand ","115.08 LBS / 52.2 KG","5'1"" FT / 157 CM","26 Y","Fairtex Training Center","WIN","Submission 
R2 (2:14)"
"Stamp Fairtex","
Thailand ","115.08 LBS / 52.2 KG","5'1"" FT / 157 CM","26 Y","Fairtex Training Center","WIN","Unanimous Decision 
R3 (5:00)"
"Stamp Fairtex","
Thailand ","115.08 LBS / 52.2 KG","5'1"" FT / 157 CM","26 Y","Fairtex Training Center","WIN","Split Decision 
R3 (5:00)"
"Stamp Fairtex","
Thailand ","115.08 LBS / 52.2 KG","5'1"" FT / 157 CM","26 Y","Fairtex Training Center","LOSS","Submission 
R3 (4:53)"
"Stamp Fairtex","
Thailand ","115.08 LBS / 52.2 KG","5'1"" FT / 157 CM","26 Y","Fairtex Training Center","LOSS","Majority Decision 
R5 (3:00)"
"Stamp Fairtex","
Thailand ","115.08 LBS / 52.2 KG","5'1"" FT / 157 CM","26 Y","Fairtex Training Center","WIN","TKO 
R1 (3:59)"
"Stamp Fairtex","
Thailand ","115.08 LBS / 52.2 KG","5'1"" FT / 157 CM","26 Y","Fairtex Training Center","LOSS","Split Decision 
R5 (5:00)"
"Stamp Fairtex","
Thailand ","115.08 LBS / 52.2 KG","5'1"" FT / 157 CM","26 Y","Fairtex Training Center","WIN","TKO 
R1 (4:27)"
"Stamp Fairtex","
Thailand ","115.08 LBS / 52.2 KG","5'1"" FT / 157 CM","26 Y","Fairtex Training Center","WIN","Unanimous Decision 
R3 (5:00)"
"Stamp Fairtex","
Thailand ","115.08 LBS / 52.2 KG","5'1"" FT / 157 CM","26 Y","Fairtex Training Center","WIN","Submission 
R3 (1:29)"
"Stamp Fairtex","
Thailand ","115.08 LBS / 52.2 KG","5'1"" FT / 157 CM","26 Y","Fairtex Training Center","WIN","Unanimous Decision 
R5 (3:00)"
"Stamp Fairtex","
Thailand ","115.08 LBS / 52.2 KG","5'1"" FT / 157 CM","26 Y","Fairtex Training Center","WIN","Unanimous Decision 
R5 (5:00)"
"Stamp Fairtex","
Thailand ","115.08 LBS / 52.2 KG","5'1"" FT / 157 CM","26 Y","Fairtex Training Center","WIN","Unanimous Decision 
R5"
"Superbon","
Thailand ","154.32 LBS / 70 KG","5'9"" FT / 177 CM","34 Y","Superbon Training Camp","WIN","Knockout 
R1 (1:43)"
"Superbon","
Thailand ","154.32 LBS / 70 KG","5'9"" FT / 177 CM","34 Y","Superbon Training Camp","WIN","Unanimous Decision 
R5 (3:00)"
"Superbon","
Thailand ","154.32 LBS / 70 KG","5'9"" FT / 177 CM","34 Y","Superbon Training Camp","LOSS","Majority Decision 
R5 (3:00)"
"Superbon","
Thailand ","154.32 LBS / 70 KG","5'9"" FT / 177 CM","34 Y","Superbon Training Camp","WIN","Knockout 
R2 (1:46)"
"Superbon","
Thailand ","154.32 LBS / 70 KG","5'9"" FT / 177 CM","34 Y","Superbon Training Camp","LOSS","Knockout 
R2 (1:03)"
"Superbon","
Thailand ","154.32 LBS / 70 KG","5'9"" FT / 177 CM","34 Y","Superbon Training Camp","WIN","Unanimous Decision 
R5 (3:00)"
"Superbon","
Thailand ","154.32 LBS / 70 KG","5'9"" FT / 177 CM","34 Y","Superbon Training Camp","WIN","Knockout 
R2 (0:20)"
"Superbon","
Thailand ","154.32 LBS / 70 KG","5'9"" FT / 177 CM","34 Y","Superbon Training Camp","WIN","Unanimous Decision 
R3 (3:00)"
"Superlek Kiatmoo9","
Thailand ","134.48 LBS / 61 KG","5'7"" FT / 171 CM","28 Y","Kiatmoo9 Gym","WIN","Knockout 
R1 (0:49)"
"Superlek Kiatmoo9","
Thailand ","134.48 LBS / 61 KG","5'7"" FT / 171 CM","28 Y","Kiatmoo9 Gym","WIN","Unanimous Decision 
R3 (3:00)"
"Superlek Kiatmoo9","
Thailand ","134.48 LBS / 61 KG","5'7"" FT / 171 CM","28 Y","Kiatmoo9 Gym","WIN","Unanimous Decision 
R5 (3:00)"
"Superlek Kiatmoo9","
Thailand ","134.48 LBS / 61 KG","5'7"" FT / 171 CM","28 Y","Kiatmoo9 Gym","WIN","Unanimous Decision 
R3 (3:00)"
"Superlek Kiatmoo9","
Thailand ","134.48 LBS / 61 KG","5'7"" FT / 171 CM","28 Y","Kiatmoo9 Gym","WIN","TKO 
R2 (1:42)"
"Superlek Kiatmoo9","
Thailand ","134.48 LBS / 61 KG","5'7"" FT / 171 CM","28 Y","Kiatmoo9 Gym","WIN","Knockout 
R1 (2:03)"
"Superlek Kiatmoo9","
Thailand ","134.48 LBS / 61 KG","5'7"" FT / 171 CM","28 Y","Kiatmoo9 Gym","WIN","Knockout 
R3 (1:55)"
"Superlek Kiatmoo9","
Thailand ","134.48 LBS / 61 KG","5'7"" FT / 171 CM","28 Y","Kiatmoo9 Gym","WIN","Unanimous Decision 
R5 (3:00)"
"Superlek Kiatmoo9","
Thailand ","134.48 LBS / 61 KG","5'7"" FT / 171 CM","28 Y","Kiatmoo9 Gym","WIN","Split Decision 
R3 (5:00)"
"Superlek Kiatmoo9","
Thailand ","134.48 LBS / 61 KG","5'7"" FT / 171 CM","28 Y","Kiatmoo9 Gym","WIN","Knockout 
R1 (1:35)"
"Superlek Kiatmoo9","
Thailand ","134.48 LBS / 61 KG","5'7"" FT / 171 CM","28 Y","Kiatmoo9 Gym","WIN","Unanimous Decision 
R3 (3:00)"
"Superlek Kiatmoo9","
Thailand ","134.48 LBS / 61 KG","5'7"" FT / 171 CM","28 Y","Kiatmoo9 Gym","LOSS","Unanimous Decision 
R5 (3:00)"
"Superlek Kiatmoo9","
Thailand ","134.48 LBS / 61 KG","5'7"" FT / 171 CM","28 Y","Kiatmoo9 Gym","WIN","Unanimous Decision 
R3 (3:00)"
"Superlek Kiatmoo9","
Thailand ","134.48 LBS / 61 KG","5'7"" FT / 171 CM","28 Y","Kiatmoo9 Gym","WIN","Unanimous Decision 
R3 (3:00)"
"Superlek Kiatmoo9","
Thailand ","134.48 LBS / 61 KG","5'7"" FT / 171 CM","28 Y","Kiatmoo9 Gym","WIN","Unanimous Decision 
R3 (5:00)"
"Superlek Kiatmoo9","
Thailand ","134.48 LBS / 61 KG","5'7"" FT / 171 CM","28 Y","Kiatmoo9 Gym","WIN","Unanimous Decision 
R3"
"Tawanchai PK Saenchai","
Thailand ","154.1 LBS / 69.9 KG","5'10"" FT / 180 CM","25 Y","PK Saenchai Muaythaigym","WIN","Majority Decision 
R5 (3:00)"
"Tawanchai PK Saenchai","
Thailand ","154.1 LBS / 69.9 KG","5'10"" FT / 180 CM","25 Y","PK Saenchai Muaythaigym","WIN","Majority Decision 
R5 (3:00)"
"Tawanchai PK Saenchai","
Thailand ","154.1 LBS / 69.9 KG","5'10"" FT / 180 CM","25 Y","PK Saenchai Muaythaigym","WIN","Unanimous Decision 
R3 (3:00)"
"Tawanchai PK Saenchai","
Thailand ","154.1 LBS / 69.9 KG","5'10"" FT / 180 CM","25 Y","PK Saenchai Muaythaigym","WIN","TKO 
R3 (0:29)"
"Tawanchai PK Saenchai","
Thailand ","154.1 LBS / 69.9 KG","5'10"" FT / 180 CM","25 Y","PK Saenchai Muaythaigym","WIN","TKO 
R1 (0:49)"
